Id,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,1950,Johnny Ezersky,F-G,27,TOT,54,,,,0.364,,0.376,,,,,,,,,,-0.7,1.1,0.5,,,,,,,143,487,0.294,,,,143,487,0.294,0.294,127,183,0.694,,,,86,,,,139,413
62,1950,Johnny Ezersky,F-G,27,BLB,38,,,,0.374,,0.376,,,,,,,,,,-0.2,0.8,0.7,,,,,,,107,351,0.305,,,,107,351,0.305,0.305,92,132,0.697,,,,64,,,,100,306
63,1950,Johnny Ezersky,F-G,27,BOS,16,,,,0.338,,0.375,,,,,,,,,,-0.5,0.3,-0.2,,,,,,,36,136,0.265,,,,36,136,0.265,0.265,35,51,0.686,,,,22,,,,39,107
64,1950,Bob Feerick,F-G,30,WSC,60,,,,0.419,,0.348,,,,,,,,,,2.1,1.6,3.6,,,,,,,172,500,0.344,,,,172,500,0.344,0.344,139,174,0.799,,,,127,,,,140,483
65,1950,George Feigenbaum,G,20,BLB,12,,,,0.277,,0.316,,,,,,,,,,-0.5,0.1,-0.4,,,,,,,14,57,0.246,,,,14,57,0.246,0.246,8,18,0.444,,,,10,,,,15,36
66,1950,Arnie Ferrin,F-G,24,MNL,63,,,,0.383,,0.275,,,,,,,,,,0.2,2.3,2.6,,,,,,,132,396,0.333,,,,132,396,0.333,0.333,76,109,0.697,,,,95,,,,147,340
67,1950,Jerry Fleishman,SG,27,PHW,65,,,,0.354,,0.428,,,,,,,,,,-0.5,2.1,1.6,,,,,,,102,353,0.289,,,,102,353,0.289,0.289,93,151,0.616,,,,118,,,,129,297
68,1950,Joe Fulks*,PF,28,PHW,68,,,,0.346,,0.348,,,,,,,,,,-4.4,3.7,-0.8,,,,,,,336,1209,0.278,,,,336,1209,0.278,0.278,293,421,0.696,,,,56,,,,240,965
69,1950,Bill Gabor,SG,27,SYR,56,,,,0.395,,0.34,,,,,,,,,,0.7,2.8,3.5,,,,,,,226,671,0.337,,,,226,671,0.337,0.337,157,228,0.689,,,,108,,,,198,609
70,1950,Elmer Gainer,F-C,31,WAT,15,,,,0.312,,0.229,,,,,,,,,,-0.2,-0.1,-0.3,,,,,,,9,35,0.257,,,,9,35,0.257,0.257,6,8,0.75,,,,7,,,,28,24
